type,symbol,setup_type,reason,pnl_pct,pnl_dollar,entry_price,exit_price,entry_date,exit_date,hold_days,sector,year
FULL,MSTR,BREAKOUT,TARGET_HIT,41.08285464439459,2426.9092960357666,19.226999282836914,27.125999450683594,2020-11-13,2020-11-27,14,Technology,2020
FULL,UBER,BREAKOUT,TIME_EXIT,12.814798611269925,1400.860149383545,44.869998931884766,50.619998931884766,2020-11-06,2020-12-18,42,Industrials,2020
FULL,CRWD,BREAKOUT,TIME_EXIT,31.238790933874228,1774.8001098632812,167.25999450683594,219.50999450683594,2020-12-04,2021-01-15,42,Technology,2021
FULL,JNJ,BREAKOUT,TIME_EXIT,5.5789056545002405,1063.7828826904297,133.34230041503906,140.78134155273438,2020-12-18,2021-01-29,42,Healthcare,2021
FULL,GOOGL,BREAKOUT,TIME_STOP,-0.0009574916429392872,-0.1299285888671875,103.58537292480469,103.58438110351562,2021-02-05,2021-02-19,14,Communication,2021
FULL,LLY,BREAKOUT,TIME_EXIT,7.850091332358266,1066.9087982177734,180.73504638671875,194.92291259765625,2021-01-15,2021-02-26,42,Healthcare,2021
FULL,NVDA,BREAKOUT,TIME_STOP,-5.674774829715958,-512.5143604278564,15.872492790222168,14.97176456451416,2021-04-16,2021-04-30,14,Technology,2021
FULL,DDOG,BREAKOUT,TIME_STOP,-0.5836903298579643,-57.75032043457031,131.9199981689453,131.14999389648438,2021-08-06,2021-08-20,14,Technology,2021
FULL,GOOGL,BASE_BREAKOUT,TIME_EXIT,4.564431441602547,734.425048828125,133.62213134765625,139.72122192382812,2021-07-30,2021-09-10,42,Communication,2021
FULL,CRWD,BREAKOUT,TIME_STOP,-7.19421831824372,-629.6099243164062,282.30999755859375,262.0,2021-08-27,2021-09-10,14,Technology,2021
FULL,NET,BREAKOUT,TIME_EXIT,7.07186908447767,662.9700469970703,121.75,130.36000061035156,2021-08-13,2021-09-24,42,Technology,2021
FULL,PANW,BREAKOUT,TIME_EXIT,6.868617486770959,948.8809204101562,79.3949966430664,84.84833526611328,2021-09-17,2021-10-29,42,Technology,2021
FULL,GOOGL,BREAKOUT,TIME_STOP,0.4268815006342741,75.216064453125,146.8324432373047,147.45924377441406,2021-10-29,2021-11-12,14,Communication,2021
FULL,PANW,BREAKOUT,TIME_STOP,-1.787534610210355,-219.62025451660156,88.38999938964844,86.80999755859375,2021-11-19,2021-12-03,14,Technology,2021
FULL,MSTR,BREAKOUT,TIME_STOP,-1.6089850150690543,-76.79082107543945,33.375,32.8380012512207,2023-04-14,2023-04-28,14,Technology,2023
FULL,UBER,BREAKOUT,TIME_EXIT,14.807947424073884,1300.630069732666,37.75,43.34000015258789,2023-05-05,2023-06-23,49,Industrials,2023
FULL,PLTR,BREAKOUT,TIME_EXIT,12.380956639466802,1190.8500423431396,13.649999618530273,15.34000015258789,2023-05-26,2023-07-07,42,Technology,2023
FULL,PANW,BREAKOUT,TIME_EXIT,16.953235666991088,1998.1050338745117,105.8499984741211,123.79499816894531,2023-05-26,2023-07-07,42,Technology,2023
FULL,COIN,BREAKOUT,TIME_STOP,-10.018037856750816,-643.5497207641602,105.30999755859375,94.76000213623047,2023-07-14,2023-07-28,14,Financials,2023
FULL,MSTR,BREAKOUT,TIME_STOP,-5.284842801490431,-385.5754852294922,45.88600158691406,43.46099853515625,2023-07-14,2023-07-28,14,Technology,2023
FULL,CRM,BREAKOUT,TIME_STOP,0.6153914875913078,91.68701171875,256.87884521484375,258.45965576171875,2023-12-01,2023-12-15,14,Technology,2023
FULL,MSTR,BREAKOUT,TIME_EXIT,21.615147250702886,1562.1060333251953,50.917999267578125,61.92399978637695,2023-11-10,2023-12-22,42,Technology,2023
FULL,COIN,BREAKOUT,STOP_HIT,-2.2278677107651697,1123.4601593017578,133.75999450683594,130.77999877929688,2023-12-01,2024-01-12,42,Financials,2024
FULL,GS,BREAKOUT,TIME_STOP,-0.7253369348095836,-115.5872802734375,362.17425537109375,359.5472717285156,2023-12-15,2024-01-12,28,Financials,2024
FULL,MSTR,BREAKOUT,STOP_HIT,-23.12940950946877,-1869.95166015625,63.1619987487793,48.553001403808594,2023-12-29,2024-01-12,14,Technology,2024
FULL,AMD,BREAKOUT,TIME_STOP,-1.0044194701907994,-110.25,174.22999572753906,172.47999572753906,2024-01-19,2024-02-09,21,Technology,2024
FULL,PLTR,BREAKOUT,TIME_STOP,-5.783428613406784,-489.26994705200195,24.3799991607666,22.969999313354492,2024-02-09,2024-02-23,14,Technology,2024
FULL,CRM,BREAKOUT,TIME_STOP,-6.994937846992205,-1007.3758544921875,313.0760498046875,291.17657470703125,2024-03-01,2024-03-15,14,Technology,2024
FULL,LLY,BREAKOUT,TIME_EXIT,4.296483655817953,657.4779052734375,728.6998901367188,760.0083618164062,2024-02-09,2024-03-22,42,Healthcare,2024
FULL,COIN,BREAKOUT,TIME_EXIT,47.035660089249234,2501.6099243164062,180.30999755859375,265.1199951171875,2024-02-16,2024-03-29,42,Financials,2024
FULL,AAPL,BREAKOUT,TIME_STOP,-0.8800501864443194,-155.87603759765625,210.85923767089844,209.00357055664062,2024-06-14,2024-06-28,14,Technology,2024
FULL,CRWD,BREAKOUT,TIME_STOP,-0.5824575171968436,-60.6148681640625,385.43499755859375,383.19000244140625,2024-06-14,2024-06-28,14,Technology,2024
FULL,AMZN,BREAKOUT,TIME_STOP,0.641658728674806,99.200439453125,193.25,194.49000549316406,2024-06-28,2024-07-12,14,Consumer Discretionary,2024
FULL,GS,BREAKOUT,TIME_STOP,-2.946807643542541,-537.4449462890625,467.6463928222656,453.8657531738281,2024-07-19,2024-08-02,14,Financials,2024
FULL,PLTR,BREAKOUT,TIME_EXIT,26.046643489799514,1994.0398406982422,35.59000015258789,44.86000061035156,2024-09-13,2024-10-25,42,Technology,2024
FULL,UBER,BREAKOUT,TIME_STOP,-10.09959921376762,-985.3592758178711,86.33999633789062,77.62000274658203,2024-10-11,2024-10-25,14,Industrials,2024
FULL,MSTR,BREAKOUT,TARGET_HIT,60.23801672918566,2544.6301879882812,212.58999633789062,340.6499938964844,2024-10-11,2024-11-15,35,Technology,2024
FULL,NOW,BREAKOUT,TIME_EXIT,18.245779240135246,1756.0878448486328,190.1699981689453,224.8679962158203,2024-10-25,2024-12-06,42,Technology,2024
FULL,GS,BREAKOUT,TIME_STOP,-0.14925121334680416,-22.181884765625,571.6197509765625,570.7666015625,2024-11-08,2024-12-13,35,Financials,2024
FULL,CRM,BREAKOUT,TIME_STOP,-4.958118124550337,-676.823974609375,359.2322082519531,341.4210510253906,2024-12-06,2024-12-20,14,Technology,2024
FULL,DDOG,BREAKOUT,TIME_STOP,-11.378587534604835,-1285.7291412353516,168.64999389648438,149.4600067138672,2024-12-06,2024-12-20,14,Technology,2024
FULL,GOOGL,BREAKOUT,TIME_STOP,0.1985180977981133,27.23291015625,190.52915954589844,190.9073944091797,2024-12-20,2025-01-03,14,Communication,2025
FULL,ARM,BREAKOUT,TIME_STOP,-0.00615909756451819,-0.42041015625,162.52000427246094,162.50999450683594,2025-01-24,2025-02-07,14,Technology,2025
FULL,GS,BREAKOUT,STOP_HIT,-0.05432261914442725,-7.95556640625,610.2097778320312,609.8782958984375,2025-01-17,2025-02-21,35,Financials,2025
FULL,COIN,BREAKOUT,STOP_HIT,-10.961149601673196,209.75015258789062,353.42999267578125,314.69000244140625,2025-06-27,2025-08-01,35,Financials,2025
FULL,SNOW,BREAKOUT,TIME_STOP,-7.336801096515259,-770.4404296875,238.66000366210938,221.14999389648438,2025-08-29,2025-09-12,14,Technology,2025
FULL,ABBV,BREAKOUT,TIME_STOP,-1.147882070120612,-200.98321533203125,230.3822021484375,227.73768615722656,2025-10-03,2025-10-17,14,Healthcare,2025
FULL,JPM,BREAKOUT,PERIOD_END,2.94801111988524,486.087646484375,317.0896911621094,326.4375305175781,2025-12-12,2025-12-26,14,Financials,2025
